quan_huyen,phuong_xa,ten_khu_vuc_ap,loai
Bình Thủy,Long Hòa,Khu vực Bình An,Khu vực
Bình Thủy,Long Hòa,Khu vực Bình Chánh,Khu vực
Bình Thủy,Long Hòa,Khu vực Bình Dương,Khu vực
Bình Thủy,Long Hòa,Khu vực Bình Nhựt,Khu vực
Bình Thủy,Long Hòa,Khu vực Bình Trung,Khu vực
Bình Thủy,Long Hòa,Khu vực Bình Yên A,Khu vực
Bình Thủy,Long Hòa,Khu vực Bình Yên B,Khu vực
Bình Thủy,Long Tuyền,Khu vực Bình Dương A,Khu vực
Bình Thủy,Long Tuyền,Khu vực Bình Dương B,Khu vực
Bình Thủy,Long Tuyền,Khu vực Bình Phó A,Khu vực
Bình Thủy,Long Tuyền,Khu vực Bình Phó B,Khu vực
Bình Thủy,Long Tuyền,Khu vực Bình Thường A,Khu vực
Bình Thủy,Long Tuyền,Khu vực Bình Thường B,Khu vực
Bình Thủy,Thới An Đông,Khu vực Thới An,Khu vực
Bình Thủy,Thới An Đông,Khu vực Thới Bình,Khu vực
Bình Thủy,Thới An Đông,Khu vực Thới Hòa,Khu vực
Bình Thủy,Thới An Đông,Khu vực Thới Hưng,Khu vực
Bình Thủy,Thới An Đông,Khu vực Thới Long,Khu vực
Bình Thủy,Thới An Đông,Khu vực Thới Ninh,Khu vực
Bình Thủy,Thới An Đông,Khu vực Thới Thạnh,Khu vực
Bình Thủy,Thới An Đông,Khu vực Thới Thuận,Khu vực
Bình Thủy,Trà An,Khu vực 1,Khu vực
Bình Thủy,Trà An,Khu vực 2,Khu vực
Bình Thủy,Trà An,Khu vực 3,Khu vực
Bình Thủy,Trà An,Khu vực 4,Khu vực
Bình Thủy,Trà Nóc,Khu vực 1,Khu vực
Bình Thủy,Trà Nóc,Khu vực 2,Khu vực
Bình Thủy,Trà Nóc,Khu vực 4,Khu vực
Bình Thủy,Trà Nóc,Khu vực 6,Khu vực
Bình Thủy,An Thới,Khu vực 1,Khu vực
Bình Thủy,An Thới,Khu vực 2,Khu vực
Bình Thủy,An Thới,Khu vực 3,Khu vực
Bình Thủy,An Thới,Khu vực 4,Khu vực
Bình Thủy,An Thới,Khu vực 5,Khu vực
Bình Thủy,Bình Thủy,Khu vực 1,Khu vực
Bình Thủy,Bình Thủy,Khu vực 2,Khu vực
Bình Thủy,Bình Thủy,Khu vực 3,Khu vực
Bình Thủy,Bình Thủy,Khu vực 4,Khu vực
Bình Thủy,Bình Thủy,Khu vực 5,Khu vực
Bình Thủy,Bình Thủy,Khu vực 6,Khu vực
Bình Thủy,Bình Thủy,Khu vực 7,Khu vực
Bình Thủy,Bùi Hữu Nghĩa,Khu vực 1,Khu vực
Bình Thủy,Bùi Hữu Nghĩa,Khu vực 2,Khu vực
Bình Thủy,Bùi Hữu Nghĩa,Khu vực 3,Khu vực
Bình Thủy,Bùi Hữu Nghĩa,Khu vực 4,Khu vực
Bình Thủy,Bùi Hữu Nghĩa,Khu vực 5,Khu vực
